Person Id,Course Short Name,Course Start Date,Course End Date,Course Flight Hours,E2E Course Days
595678,4 Com Sgl,06/25/2019,09/15/2019,122.8,82
595678,5 Com Mul,01/30/2020,02/21/2020,1.8,22
595678,8 CFII,12/04/2019,01/22/2020,12.1,49
595678,9 MEI,12/07/2020,01/21/2021,12.2,45
595680,1 Intro,04/01/2019,04/26/2019,10.4,25
595680,4 Com Sgl,04/26/2019,10/20/2019,135.9,177
595680,6 CFI,09/09/2019,01/25/2020,,138
595681,1 Intro,04/01/2019,05/18/2019,10.9,47
595683,2 Private,04/01/2019,08/05/2019,47.6,126
595683,3 Inst,08/31/2019,12/23/2019,58.6,114
595683,4 Com Sgl,02/14/2020,12/05/2020,118.3,295
595683,5 Com Mul,12/08/2020,02/08/2021,18.8,62
595683,6 CFI,02/08/2021,09/02/2021,25.6,206
595683,8 CFII,09/03/2021,11/16/2021,19.9,74
595684,2 Private,04/01/2019,08/03/2019,49.6,124
595684,3 Inst,08/16/2019,10/14/2019,39.9,59
595684,4 Com Sgl,10/20/2019,03/02/2020,114.0,134
595684,5 Com Mul,11/13/2020,02/02/2021,16.9,81
595684,6 CFI,02/03/2020,06/15/2020,19.1,133
595684,8 CFII,08/03/2020,09/08/2020,7.9,36
595684,9 MEI,02/03/2021,03/31/2021,17.9,56
595687,2 Private,04/01/2019,06/23/2019,43.2,83
595687,3 Inst,07/01/2019,10/02/2019,50.4,93
595687,4 Com Sgl,10/08/2019,06/13/2020,123.1,249
595687,5 Com Mul,03/06/2021,05/13/2021,18.6,68
595687,6 CFI,03/16/2020,10/04/2020,16.6,202
595687,8 CFII,12/07/2020,03/05/2021,12.4,88
595688,2 Private,04/01/2019,08/30/2019,54.3,151
595691,2 Private,04/01/2019,09/10/2019,60.9,162
595692,2 Private,04/01/2019,08/20/2019,68.1,141
595692,3 Inst,09/04/2019,05/24/2020,70.2,263
595692,4 Com Sgl,04/06/2020,10/02/2020,122.8,179
595692,5 Com Mul,09/15/2021,11/15/2021,29.3,61
595692,6 CFI,11/02/2020,08/19/2021,39.9,290
603410,2 Private,05/06/2019,07/07/2019,41.3,62
603410,3 Inst,07/25/2019,09/26/2019,46.2,63
603410,4 Com Sgl,09/30/2019,02/16/2020,144.9,139
603410,5 Com Mul,12/07/2020,03/14/2021,19.4,97
603410,6 CFI,02/03/2020,07/06/2020,26.3,154
603410,8 CFII,07/01/2020,09/15/2020,15.3,76
603411,2 Private,05/06/2019,09/18/2019,56.0,135
603411,3 Inst,09/19/2019,07/24/2020,79.4,309
603411,4 Com Sgl,04/06/2020,03/04/2021,112.7,332
603411,5 Com Mul,03/10/2021,04/26/2021,21.0,47
603411,6 CFI,05/03/2021,09/16/2021,22.6,136
603412,2 Private,05/06/2019,08/15/2019,52.5,101
603412,3 Inst,08/28/2019,02/28/2020,74.4,184
603416,2 Private,05/06/2019,09/04/2019,50.2,121
603416,3 Inst,09/11/2019,11/23/2019,49.8,73
603416,4 Com Sgl,01/13/2020,11/16/2020,126.2,308
603423,1 Intro,05/06/2019,05/24/2019,9.8,18
603423,3 Inst,05/28/2019,07/03/2019,35.3,36
603423,4 Com Sgl,07/10/2019,12/28/2019,151.6,171
603423,5 Com Mul,12/07/2020,02/25/2021,15.1,80
603423,6 CFI,01/17/2020,06/05/2020,16.1,140
603423,8 CFII,06/24/2020,08/12/2020,11.1,49
603425,1 Intro,05/06/2019,05/20/2019,7.6,14
603425,3 Inst,05/20/2019,08/02/2019,35.0,74
603425,4 Com Sgl,08/08/2019,11/26/2019,139.5,110
603425,5 Com Mul,10/22/2020,01/13/2021,21.5,83
603425,6 CFI,12/16/2019,03/08/2020,13.6,83
603425,8 CFII,05/04/2020,06/11/2020,8.3,38
603425,9 MEI,01/13/2021,02/20/2021,15.3,38
603427,1 Intro,05/06/2019,05/22/2019,10.2,16
603429,2 Private,05/06/2019,08/02/2019,47.8,88
603429,3 Inst,08/24/2019,11/23/2019,54.9,91
603429,4 Com Sgl,12/05/2019,06/25/2020,114.7,203
603429,5 Com Mul,02/11/2021,05/06/2021,19.8,84
603429,6 CFI,08/03/2020,10/18/2020,21.7,76
603429,8 CFII,12/23/2020,02/11/2021,11.3,50
606222,2 Private,05/06/2019,10/25/2019,81.0,172
606222,3 Inst,11/11/2019,06/16/2020,67.4,218
606222,4 Com Sgl,04/06/2020,11/05/2020,98.8,213
606222,5 Com Mul,06/19/2021,08/14/2021,20.5,56
606222,6 CFI,12/07/2020,04/22/2021,17.5,136
606222,8 CFII,04/23/2021,06/30/2021,24.5,68
606223,2 Private,05/06/2019,08/02/2019,37.4,88
606223,3 Inst,08/21/2019,10/12/2019,51.6,52
606223,4 Com Sgl,10/15/2019,12/11/2019,140.9,57
606223,5 Com Mul,12/13/2019,02/21/2020,11.4,70
606223,6 CFI,12/16/2019,09/01/2020,22.5,260
612040,8 CFII,12/02/2019,01/20/2020,7.9,49
614067,2 Private,06/03/2019,11/19/2019,55.8,169
614067,3 Inst,01/01/2020,10/17/2020,61.0,290
614067,4 Com Sgl,10/23/2020,08/08/2021,131.4,289
614067,5 Com Mul,08/17/2021,10/01/2021,22.7,45
614068,2 Private,06/03/2019,10/12/2019,76.0,131
614068,3 Inst,10/17/2019,05/28/2020,55.4,224
614068,4 Com Sgl,04/06/2020,12/14/2020,123.8,252
614068,5 Com Mul,09/12/2021,11/05/2021,18.6,54
614068,6 CFI,01/05/2021,07/15/2021,42.8,191
614068,8 CFII,07/19/2021,09/10/2021,24.5,53
614069,2 Private,06/03/2019,11/19/2019,66.6,169
614070,1 Intro,06/03/2019,06/27/2019,8.1,24
614071,2 Private,06/03/2019,08/24/2019,54.6,82
614071,3 Inst,09/05/2019,01/07/2020,68.9,124
614071,4 Com Sgl,02/14/2020,09/15/2020,144.2,214
614071,5 Com Mul,10/16/2020,12/11/2020,20.1,56
614072,2 Private,06/03/2019,11/26/2019,65.3,176
614072,3 Inst,01/22/2020,10/08/2020,37.4,260
614072,4 Com Sgl,10/14/2020,05/19/2021,118.4,217
614072,5 Com Mul,05/26/2021,09/03/2021,23.9,100
614076,1 Intro,06/03/2019,06/21/2019,9.9,18
614076,3 Inst,06/21/2019,08/22/2019,35.8,62
614076,4 Com Sgl,09/10/2019,09/14/2020,147.3,370
614078,2 Private,06/03/2019,12/09/2019,77.5,189
614078,3 Inst,12/20/2019,07/22/2020,52.8,215
614078,4 Com Sgl,08/03/2020,11/04/2020,121.3,93
614078,5 Com Mul,08/31/2021,11/18/2021,23.7,79
614078,6 CFI,12/07/2020,04/21/2021,18.6,135
614078,8 CFII,04/22/2021,08/16/2021,18.0,116
614079,2 Private,06/03/2019,11/08/2019,61.4,158
614079,3 Inst,12/13/2019,06/22/2020,45.8,192
614079,4 Com Sgl,07/04/2020,04/02/2021,121.1,272
614079,6 CFI,04/05/2021,08/02/2021,29.5,119
614079,8 CFII,08/03/2021,09/13/2021,16.8,41
614080,1 Intro,05/27/2019,06/27/2019,12.7,31
614080,3 Inst,06/28/2019,09/25/2019,59.5,89
614080,4 Com Sgl,10/14/2019,06/26/2020,141.8,256
614080,5 Com Mul,03/01/2021,07/19/2021,28.3,140
614080,6 CFI,07/13/2020,09/29/2020,20.2,78
614080,8 CFII,10/12/2020,12/29/2020,12.9,78
614081,2 Private,06/03/2019,07/14/2020,85.7,407
614081,3 Inst,04/02/2020,02/12/2021,49.1,316
614081,4 Com Sgl,02/15/2021,09/24/2021,123.5,221
